First Name,Last Name,Phone Number,Email,Year of Birth,Gender,Are you a person with Disability?,County of Residence,Sub County of Residence (Sub Counties in Mombasa),Ward of Residence,Highest level of education completed,Are you employed,Are you running a business,Whats your area of interest?,"If you selected other, please elaborate (If not, respond with N/A)",Mode of Mentorship ( Remote / Physical / Any),Prefered Mentor Gender (Male / Female / Any),What are your strengths,What are your weaknesses,What are your career goals,What skills would you like to be mentored,What are your financial goals,Upload your resume if available,Who referred you? (Your Case Manager/Mentor)
,,,,2000,Female,No,Mombasa,Kisauni,Utange,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1985,Female,No,Mombasa,Mvita,Tudor,Secondary (High School),No,Yes,Entrepreneurship,N\A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Nyali,Kongowea,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Changamwe,Chaani,Secondary (High School),Yes,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1992,Male,Yes,Mombasa,Mvita,Tudor ,College,No,Yes,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Bamburi,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,kadzandani,College,No,Yes,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Bamburi,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Likoni,Bofu,College,No,No,Health,N/A,,,,,,,,,
,,,,1988,Female,No,Mombasa,Kisauni,Magogoni,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Changamwe,Portrietz,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Likoni,Mtongwe ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Mwembelegeza,College,No,No,Engineer ,Am an electrical enginee,,,,,,,,,
,,,,1993,Female,No,Mombasa,Nyali,Free town,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Changamwe,Chaani,Secondary (High School),Yes,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Junda,Secondary (High School),No,No,Hospitality ,Catering ,,,,,,,,,
,,,,2001,Male,No,Mombasa,Likoni,Timbwani,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1994,Female,No,Mombasa,Nyali,Kadzandani,College,No,No,Journalism ,A professional journalist ,,,,,,,,,
,,,,2000,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Kisauni,lights,Secondary (High School),No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Changamwe,Coast warriors dancer crew ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Nyali,Kongowea,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,1998,Male,No,Kwale,Others (Outside Mombasa),Bongwe Gombato,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,No,Digital Literacy Skills (technology),Digital literacy,,,,,,,,,
,,,,2003,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,Timbwani,College,No,No,Creatives and Arts,NA,,,,,,,,,
,,,,2003,Female,No,Mombasa,Nyali,KONGOWEA,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Male,Yes,Mombasa,Nyali,Mkomani ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Kisauni,Shanzu,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Likoni,Likoni,College,No,No,Mass communication ,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Likoni,Timbwani,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1995,Male,No,Mombasa,Nyali,Bamburi,Univeristy,No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Changamwe,Chaani,TVET,No,No,Engeenering ,Engeneering,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Timbwani Ward,TVET,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Likoni,Shikaadabu,TVET,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Nyali,Kongowea,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Bamburi ,TVET,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Mvita,Old Town ,Primary,No,No,Digital Literacy Skills (technology),n/a,,,,,,,,,
,,,,2005,Female,No,Mombasa,Kisauni,Nyali ward,Secondary (High School),No,No,Hospitality and Tourism,N/An ,,,,,,,,,
,,,,2001,Female,No,Mombasa,Mvita,Old town,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Kisauni,Magogoni,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Nyali ,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Kisauni,Nyali ward ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1991,Male,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Female,No,Kwale,Others (Outside Mombasa),Waa/ng'ombeni,Secondary (High School),No,No,Health,Mental health,,,,,,,,,
,,,,2003,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,MTOPANGA ,Secondary (High School),No,No,Health,No,,,,,,,,,
,,,,2000,Male,No,Mombasa,Likoni,Timbwani,TVET,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Mvita,Majengo,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Mjambere,Univeristy,Yes,No,Health,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Changamwe,Kipevu,TVET,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,Mjambere,TVET,No,No,Technology and electronics ,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Nyali,Mkomani,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1992,Male,No,Mombasa,Likoni,Bofu,Primary,No,No,Driver,My expiriance is driving so i would like to be a qaulified driver,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Mkomani,College,No,Yes,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Likoni,Mtongwe,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Nyali,,Univeristy,Yes,No,Managerial,How to manage relevant tasks,,,,,,,,,
,,,,2000,Male,No,Mombasa,Changamwe,Mikindani,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Female,No,Kwale,Others (Outside Mombasa),Matuga ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Mvita,Old town,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,Mkomani,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Mvita,Tudor ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Jomvu,Jomvu kuu,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Likoni,Timbwani,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1990,Female,No,Mombasa,Changamwe,Chaani,College,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Mjambere,Primary,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Likoni,Timbwan ward ,College,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,Kiembeni,Secondary (High School),No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Nyali,Bombolulu,Univeristy,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Nyali,Ziwa la ng'ombe ,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Changamwe,Chaani,TVET,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Changamwe,Chaani,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Likoni,Shikaadabu,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1990,Male,No,Mombasa,Mvita,Tononoka,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Changamwe,C haani,TVET,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Mvita,Old town,Secondary (High School),Yes,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Likoni,Bofu,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Likoni,Bofu,College,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Mjambere ,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mtopanga,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Nyali,ziwa la ng'ombe,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Mvita,Majengo,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,1990,Male,No,Mombasa,Likoni,BOFU,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Mvita,Makadara,Univeristy,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Timbwani Ward,TVET,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Mvita,Tudor ,Univeristy,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1987,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Hospitality and Tourism,Creative and Arts,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Shanzu,Univeristy,No,No,Community development,I would love to work with my community,,,,,,,,,
,,,,1999,Female,No,Kilifi,Others (Outside Mombasa),Kaloleni ,College,Yes,No,Health,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,Kadzandani,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Nyali,Kadzandani,Univeristy,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2001,Female,No,Kilifi,Others (Outside Mombasa),Kaloleni ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1994,Female,No,Mombasa,Nyali,Kadzandani,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1995,Male,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2007,Male,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2007,Male,No,Mombasa,Nyali,Ziwa La Ng'ombe,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Ziwa La Ng'ombe,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Kilifi,Others (Outside Mombasa),Chasimba,Univeristy,No,Yes,Entrepreneurship,N/A9,,,,,,,,,
,,,,2003,Female,No,Mombasa,Mvita,Mvita,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,1993,Female,No,Others,Others (Outside Mombasa),Mnagei,College,No,No,Social worker ,Social worker ,,,,,,,,,
,,,,1999,Male,No,Kilifi,Others (Outside Mombasa),Kaloleni ,College,No,No,Health,Community Health & Development ,,,,,,,,,
,,,,2001,Female,No,Mombasa,Nyali,Ziwa la  ng'ombe,College,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Likoni,Shikaadabu,Univeristy,No,No,Social work and counseling,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Mvita,Tudor,Univeristy,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Creatives and Arts,None,,,,,,,,,
,,,,1998,Female,No,Mombasa,Changamwe,Airport ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Kisauni,Junda ward,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Female,No,Kwale,Others (Outside Mombasa),Mwavumbo,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Likoni,BOFU,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,Kadzandani,College,No,Yes,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,No,Driving ,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,Magogoni,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Female,No,Others,Others (Outside Mombasa),Juja,Univeristy,No,No,Social worker ,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Likoni,Timbwani ,Secondary (High School),No,No,Health,NA,,,,,,,,,
,,,,1999,Female,No,Kilifi,Others (Outside Mombasa),Shimo la tewa,Univeristy,No,Yes,Health,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Likoni,Timbwani ,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Likoni,Timbwani,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Junda,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Junda ,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2005,Male,No,Mombasa,Changamwe,chaani ward,Secondary (High School),No,No,football ,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Likoni,Bofu,College,No,No,Health,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Health,NA,,,,,,,,,
,,,,1994,Female,No,Mombasa,Likoni,Bofu,Primary,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Likoni,Timbwani ,TVET,No,Yes,Health,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Likoni,Timbwani ,College,No,No,Health,Electrical installation ,,,,,,,,,
,,,,2001,Male,No,Mombasa,Changamwe,Chaani ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1994,Female,No,Mombasa,Changamwe,Portreitz,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Kisauni,Kisauni ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1984,Male,No,Kwale,Others (Outside Mombasa),Gombato ,College,No,No,Entrepreneurship,N/a,,,,,,,,,
,,,,2000,Female,No,Kilifi,Others (Outside Mombasa),Shimo LA Tewa,College,Yes,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Likoni,Bofu ,Secondary (High School),No,No,Health,NA,,,,,,,,,
,,,,1987,Male,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Creatives and Arts,Drama,,,,,,,,,
,,,,2007,Female,Yes,Mombasa,Likoni,,Secondary (High School),No,No,Hospitality and Tourism,Dramatic,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Bakaranii,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mtopanga ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1992,Female,No,Mombasa,Kisauni,Junda,Univeristy,No,Yes,Health,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Mvita,Tudor,Univeristy,No,No,Entrepreneurship,I have great work ethic and i easily adjust to the environment,,,,,,,,,
,,,,1996,Male,No,Mombasa,Changamwe,airport,Univeristy,No,No,Health,im a graduate of education degree and nursing diploma,,,,,,,,,
,,,,1994,Female,No,Mombasa,Kisauni,Mjambere ward,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Mvita,Shimanzi,Primary,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Mvita,Tudor,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Mvita,Tudor,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1995,Male,No,Mombasa,Mvita,Majengo,Secondary (High School),No,No,Business,Small business that require no experience from school.,,,,,,,,,
,,,,1994,Male,No,Mombasa,Mvita,Majengo,Univeristy,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Mvita,Old Town,Univeristy,No,No,Engineering and Sports,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Mvita,Mvita,Univeristy,Yes,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1991,Female,No,Mombasa,Changamwe,Portreiz ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Changamwe,Portreiz ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1994,Male,No,Kwale,Others (Outside Mombasa),Ukunda,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1994,Male,No,Kwale,Others (Outside Mombasa),UKUNDA,College,Yes,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Likoni,Timbwani ,College,No,No,Digital Literacy Skills (technology),N a,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,Ziwa La Ng'ombe ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1993,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1994,Male,No,Mombasa,Changamwe,Airport ward,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Likoni,Timbwani,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Changamwe,Changamwe,Secondary (High School),No,No,Hospitality and Tourism,Elaborate,,,,,,,,,
,,,,2001,Female,No,Mombasa,Changamwe,Portreiz ,College,No,Yes,Health,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Nyali,Frere-town,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Kisauni,Mjambere ,TVET,No,Yes,Health,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Likoni,Bofu,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,Yes,Mombasa,Nyali,Kadzandani ,Secondary (High School),No,No,Hospitality and Tourism,Nill,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Kisauni,Mjambere,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Changamwe,Airport,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1998,Male,No,Mombasa,Changamwe,Airport ,Secondary (High School),No,No,Digital Literacy Skills (technology),Abednego kyalo,,,,,,,,,
,,,,1999,Male,No,Mombasa,Mvita,Old Town,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mjambere wad,TVET,No,No,Hospitality and Tourism,N,,,,,,,,,
,,,,2002,Male,No,Mombasa,Mvita,Manjengo,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Changamwe,Magongo,Univeristy,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Nyali,Frere town,College,No,No,Health,N/A,,,,,,,,,
,,,,1993,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1998,Male,No,Mombasa,Changamwe,AIRPORT ,College,No,No,Creatives and Arts,NA,,,,,,,,,
,,,,1999,Female,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Bamburi ,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1994,Male,No,Mombasa,Changamwe,Airport,College,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Nyali,Kadzandani,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1993,Female,No,Mombasa,Changamwe,Airport,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,Yes,Entrepreneurship,Just a small business ,,,,,,,,,
,,,,2004,Female,No,Mombasa,Jomvu,Mikindani ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Changamwe,Airport ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Kisauni,Kisauni ,Secondary (High School),No,No,Icty,A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Mvita,King'orani ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Kisauni,Kisauni,Secondary (High School),Yes,No,Health,N,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Mashauri ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1994,Male,No,Mombasa,Nyali,Kongowea,Secondary (High School),No,No,Creatives and Arts,NA,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Kisauni ,Secondary (High School),No,Yes,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Nyali,,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,Kadzandani ,TVET,No,No,Health,N/A,,,,,,,,,
,,,,2006,Female,No,Mombasa,Kisauni,Bamburi,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2006,Female,No,Mombasa,Kisauni,Bamburi,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2005,Male,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1994,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1987,Male,No,Mombasa,Kisauni,Magogoni,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Junda,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,No,Health,Health ,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Junda ,Secondary (High School),No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Mvita,Oldtown,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Kisauni,Mjambere,College,Yes,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Likoni,Shikaadabu ,Secondary (High School),No,No,Hospitality and Tourism,I like volunteer work ,,,,,,,,,
,,,,1992,Female,No,Mombasa,Kisauni,Bamburi,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Mvita,Old town ,TVET,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1992,Male,No,Mombasa,Nyali,Ziwa la ngombe,Secondary (High School),No,No,Public relations,Have some knowledge in that field,,,,,,,,,
,,,,2000,Female,No,Mombasa,Mvita,Oldtwn ,TVET,No,No,Health,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1996,Female,No,Mombasa,Kisauni,Kisauni,Secondary (High School),Yes,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Junda ,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
